date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-08-18 00:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,21,22,24,22,17,21,92,0.0,1011,22,10,291,8,Cary
2012-08-18 01:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,21,23,21,17,18,93,0.0,1010,21,7,299,8,Cary
2012-08-18 02:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,21,22,21,18,14,94,0.0,1010,21,5,307,8,Cary
2012-08-18 03:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,19,20,20,20,18,10,94,0.0,1010,20,2,316,9,Cary
2012-08-18 04:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,19,21,21,21,17,12,93,0.0,1010,20,5,214,9,Cary
2012-08-18 05:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,19,21,21,21,16,14,91,0.0,1011,21,7,112,10,Cary
2012-08-18 06:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,19,21,21,21,15,15,89,0.0,1012,21,10,11,10,Cary
2012-08-18 07:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,19,23,23,23,13,19,82,0.0,1012,23,10,18,10,Cary
2012-08-18 08:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,19,26,26,25,12,23,74,0.0,1011,25,10,25,9,Cary
2012-08-18 09:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,28,28,26,10,26,66,0.0,1011,26,10,32,9,Cary
2012-08-18 10:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,30,30,28,8,26,64,0.0,1011,27,10,24,7,Cary
2012-08-18 11:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,21,32,32,29,6,25,62,0.0,1012,29,10,16,5,Cary
2012-08-18 12:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,22,34,34,30,3,25,60,0.0,1012,30,10,8,3,Cary
2012-08-18 13:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,21,33,33,30,4,29,60,0.0,1011,29,10,125,4,Cary
2012-08-18 14:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,21,32,32,29,5,33,60,0.0,1010,29,10,242,5,Cary
2012-08-18 15:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,31,31,29,6,37,59,0.0,1009,29,10,359,5,Cary
2012-08-18 16:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,29,29,27,10,33,67,0.0,1010,27,10,259,6,Cary
2012-08-18 17:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,27,27,25,14,29,75,0.0,1011,25,10,160,7,Cary
2012-08-18 18:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,25,25,23,17,26,83,0.0,1011,23,10,60,8,Cary
2012-08-18 19:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,24,24,22,18,27,87,0.0,1011,22,10,63,9,Cary
2012-08-18 20:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,21,22,21,18,27,91,0.6,1012,21,9,66,9,Cary
2012-08-18 21:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,21,21,21,19,28,95,0.8,1012,21,9,69,9,Cary
2012-08-18 22:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,20,20,20,20,20,32,95,0.4,1012,20,7,75,10,Cary
2012-08-18 23:00:00,30,20,0.0,13.6,7,2,06:38 AM,07:21 PM,05:37 AM,07:00 PM,19,20,20,20,21,35,95,0.0,1012,20,4,81,10,Cary
