date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-08-18 00:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,21,22,25,22,16,23,93,0.0,1011,22,10,286,8,Raleigh
2012-08-18 01:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,21,22,23,22,16,19,93,0.0,1010,21,7,294,8,Raleigh
2012-08-18 02:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,21,22,21,16,16,94,0.0,1010,21,5,302,8,Raleigh
2012-08-18 03:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,21,21,21,16,12,94,0.0,1010,21,2,310,8,Raleigh
2012-08-18 04:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,21,22,21,15,14,93,0.0,1010,21,5,209,9,Raleigh
2012-08-18 05:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,21,23,21,15,15,91,0.0,1011,21,7,108,9,Raleigh
2012-08-18 06:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,21,24,21,14,16,90,0.0,1012,21,10,8,10,Raleigh
2012-08-18 07:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,26,26,23,12,19,83,0.0,1012,23,10,13,9,Raleigh
2012-08-18 08:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,27,27,25,11,21,76,0.0,1011,25,10,19,9,Raleigh
2012-08-18 09:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,28,28,27,9,23,69,0.0,1011,26,10,24,8,Raleigh
2012-08-18 10:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,21,30,30,28,7,23,66,0.0,1011,28,10,23,6,Raleigh
2012-08-18 11:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,21,32,32,29,6,24,62,0.0,1012,29,10,21,5,Raleigh
2012-08-18 12:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,22,34,34,31,4,24,59,0.0,1012,30,10,19,3,Raleigh
2012-08-18 13:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,21,33,33,30,5,27,60,0.0,1011,30,10,15,4,Raleigh
2012-08-18 14:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,21,32,32,30,5,30,61,0.0,1010,29,10,10,5,Raleigh
2012-08-18 15:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,21,31,31,29,6,33,61,0.0,1009,29,10,6,5,Raleigh
2012-08-18 16:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,29,29,27,11,34,68,0.0,1010,27,10,23,7,Raleigh
2012-08-18 17:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,27,27,25,15,35,75,0.0,1011,25,10,41,8,Raleigh
2012-08-18 18:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,25,25,23,20,36,82,0.0,1011,23,10,58,9,Raleigh
2012-08-18 19:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,24,24,22,20,36,87,0.0,1011,22,9,61,9,Raleigh
2012-08-18 20:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,22,22,22,20,35,91,1.0,1012,22,8,63,9,Raleigh
2012-08-18 21:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,21,21,21,20,34,96,1.3,1012,21,7,66,9,Raleigh
2012-08-18 22:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,21,21,21,21,35,96,0.7,1012,20,5,71,10,Raleigh
2012-08-18 23:00:00,30,21,0.0,13.6,7,2,06:38 AM,07:20 PM,05:36 AM,07:00 PM,20,20,20,20,22,36,96,0.0,1012,20,4,77,11,Raleigh
