date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-08-18 00:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,22,27,27,25,22,14,88,0.0,1011,24,10,264,12,Wilmington
2012-08-18 01:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,22,27,27,24,20,19,89,0.0,1011,24,10,268,11,Wilmington
2012-08-18 02:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,22,26,26,24,18,24,90,0.8,1010,24,9,271,10,Wilmington
2012-08-18 03:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,22,26,26,24,16,29,91,1.0,1010,24,9,274,9,Wilmington
2012-08-18 04:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,22,26,26,24,14,29,90,0.5,1010,24,9,277,8,Wilmington
2012-08-18 05:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,27,27,24,12,28,90,0.0,1011,24,10,281,8,Wilmington
2012-08-18 06:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,27,27,25,10,28,90,0.0,1012,25,10,284,7,Wilmington
2012-08-18 07:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,29,29,26,9,25,84,0.0,1011,26,10,279,7,Wilmington
2012-08-18 08:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,30,30,27,9,21,79,0.1,1011,27,9,274,7,Wilmington
2012-08-18 09:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,32,32,28,9,18,73,0.1,1011,28,9,269,7,Wilmington
2012-08-18 10:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,33,33,29,9,17,72,0.1,1011,29,9,254,7,Wilmington
2012-08-18 11:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,33,33,29,9,16,71,0.0,1011,29,10,239,8,Wilmington
2012-08-18 12:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,24,34,34,30,9,15,70,0.0,1012,30,10,224,8,Wilmington
2012-08-18 13:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,34,34,30,10,13,70,0.0,1011,30,10,225,8,Wilmington
2012-08-18 14:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,34,34,29,10,12,70,0.6,1010,29,9,226,8,Wilmington
2012-08-18 15:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,33,33,29,11,10,70,0.7,1009,29,9,227,8,Wilmington
2012-08-18 16:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,32,32,28,12,11,76,0.4,1010,28,9,222,8,Wilmington
2012-08-18 17:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,30,30,27,14,11,82,0.0,1010,27,10,216,8,Wilmington
2012-08-18 18:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,28,28,25,16,11,88,0.0,1011,25,10,211,8,Wilmington
2012-08-18 19:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,28,28,25,15,14,88,0.0,1011,25,10,221,7,Wilmington
2012-08-18 20:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,27,27,25,13,16,88,0.2,1011,25,9,230,6,Wilmington
2012-08-18 21:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,22,27,27,25,12,19,88,0.2,1011,24,9,240,6,Wilmington
2012-08-18 22:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,27,27,24,12,19,89,0.1,1011,24,9,278,6,Wilmington
2012-08-18 23:00:00,30,24,0.0,13.2,7,2,06:35 AM,07:17 PM,05:36 AM,06:55 PM,23,27,27,24,12,18,91,0.0,1012,24,10,316,6,Wilmington
